3 5
7 6
9 8
8 8
8 9
7 7
7 7
7 7
7 8
8 8
7 8
8 7
9 9
7 6
6 6
6 4
7 7
8 8
6 6
4 5
9 9
7 7
6 7
8 8
7 9
7 7
5 5
8 7
8 8
9 8
6 6
8 7
9 9
9 8
7 7
9 9
8 8
7 6
8 8
9 9
8 8
9 9
8 9
8 8
4 5
7 7
8 8
7 7
9 9
9 9
7 7
7 7
7 7
8 8
9 9
9 8
6 7
9 9
4 4
5 5
7 7
3 4
6 6
8 8
8 8
7 8
7 7
9 9
10 10
6 6
7 7
6 6
9 9
8 8
8 8
7 7
7 7
9 9
8 8
7 7
6 6
8 8
7 8
7 7
8 8
6 6
7 8
7 8
8 8
8 8
7 7
8 8
7 7
5 6
7 7
9 9
8 8
9 9
8 8
6 6
7 7
7 7
8 7
9 7
9 9
8 7
8 8
7 7
4 6
7 7
7 6
7 7
6 6
8 8
7 7
8 8
3 7
9 9
7 8
8 8
9 9
6 5
8 8
7 7
8 8
9 9
6 6
9 10
8 8
8 8
7 7
9 9
9 9
7 7
5 6
7 7
4 4
8 7
4 5
6 6
7 7
7 7
8 8
9 9
